texmf-dist/tex/latex/exam-zh/exam-zh.cls:1309:10:1309:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1309:21:1309:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1323:1:1323:143: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1323:19:1323:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1323:70:1323:108: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1323:109:1323:109: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1325:1:1325:143: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1325:19:1325:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1325:108:1325:108: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1334:1:1334:82: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1337:1:1337:144: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1337:70:1337:109: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1337:110:1337:110: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1339:1:1339:144: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1339:109:1339:109: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1371:1:1371:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1373:29:1373:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1378:1:1378:96: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1378:21:1378:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1378:62:1378:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1380:1:1380:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1380:21:1380:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1380:62:1380:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1411:1:1411:98: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1413:29:1413:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1418:1:1418:96: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1418:62:1418:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1420:1:1420:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1420:62:1420:62: s204 missing stylistic whitespaces
